AJ Griffin,ATL,20,20,171,0.4,0.4,0.8,0.6,0,4
Bogdan Bogdanović,ATL,31,79,2401,0.7,0.6,2.7,0.3,0,7.6
Bruno Fernando,ATL,25,45,682,2.4,5.6,1.8,0.4,0,7
Clint Capela,ATL,30,73,1883,2.3,4.4,1.6,0.3,0.3,12
De'Andre Hunter,ATL,26,57,1681,0.6,0.8,1.6,0.2,0.1,5.7
Dejounte Murray,ATL,27,78,2783,0.2,0.2,3,0.4,0,3.6
Dylan Windler,ATL,27,17,108,0.3,0,3.7,0,0,6
Garrison Mathews,ATL,27,66,992,0.5,0.4,1,0.1,0.5,4.6
Jalen Johnson,ATL,22,56,1889,0.5,1.5,2.2,0.3,0.1,6.9
Kobe Bufkin,ATL,20,17,196,0.4,0.7,3.5,0.4,0,7.2
Mouhamed Gueye,ATL,21,6,73,0.5,2.5,2,1,0,8.4
Onyeka Okongwu,ATL,23,55,1405,1.8,4.2,1.8,0.4,0,11.1
Saddiq Bey,ATL,25,63,2062,0.4,0.6,1.6,0.3,0,3.6
Seth Lundy,ATL,24,9,52,0.7,0,2.1,0,0,6.2
Trae Young,ATL,25,54,1942,0,0.2,2.4,0.4,0.2,2.4
Trent Forrest,ATL,26,38,414,0.4,0.7,2.4,0.4,0.2,3.6
Vít Krejčí,ATL,24,22,541,0.5,0.5,2,0.5,0,5.2
Wesley Matthews,ATL,37,36,413,1.2,1,3.7,0.4,0.2,4.4
Armoni Brooks,BKN,26,10,104,0.3,0.3,1.4,0.3,0,4.8
Ben Simmons,BKN,27,15,359,1.1,4.4,3,0.7,0.1,5
Cam Thomas,BKN,22,66,2075,0.4,0.3,1.1,0.3,0,4.6
Cameron Johnson,BKN,28,58,1599,0.8,0.4,2.1,0.4,0,4.9
Dariq Whitehead,BKN,19,2,24,0,0,0,0,0,3
Day'Ron Sharpe,BKN,22,61,921,2.4,5.6,2.4,0.4,0,10.6
Dennis Schröder,BKN,30,80,2486,0.3,0.4,1.5,0.6,0,3.9
Dennis Smith Jr.,BKN,26,56,1059,0.3,0.6,4.5,0.6,0.1,4.8
Dorian Finney-Smith,BKN,31,68,1935,0.8,1.2,2.1,0.4,0,6.6
Jacob Gilyard,BKN,25,41,698,0.3,0.5,4.1,0.5,0,2.6
Jalen Wilson,BKN,23,43,665,1,0.8,1.2,0.5,0,5.4
Keita Bates-Diop,BKN,28,53,665,0.5,0.9,1.9,0.3,0,7
Keon Johnson,BKN,22,5,61,1.8,1.2,3,1.2,0,2.4
Lonnie Walker IV,BKN,25,58,1011,0.2,0.1,1.9,0.5,0,4.1
Mikal Bridges,BKN,27,82,2854,0.5,0.2,1.6,0.3,0,4.3
Nic Claxton,BKN,25,71,2116,1.9,4.2,1.9,0.3,0,13.1
Noah Clowney,BKN,19,23,370,1.8,3.3,1.8,0.5,0,9.9
Trendon Watford,BKN,23,63,857,0.5,1.1,1.8,0.9,0,6.3
Al Horford,BOS,38,65,1740,1.7,1.8,1.3,0.4,0,10.9
Derrick White,BOS,29,73,2381,0.3,0.6,2.3,0.4,0.1,7.3
Drew Peterson,BOS,24,3,23,0,1.6,3.1,1.6,0,3.1
JD Davison,BOS,21,8,39,0.9,0,2.8,0,0,1.8
Jaden Springer,BOS,21,49,507,0.8,0.2,3.8,1,0,4.6
Jaylen Brown,BOS,27,70,2343,0.8,0.3,1.9,0.5,0,4.5
Jayson Tatum,BOS,26,74,2645,0.5,0.5,2,0.3,0,3.7
Jordan Walsh,BOS,20,9,83,0.9,2.6,1.3,1.7,0,5.2
Jrue Holiday,BOS,34,69,2263,0.7,0.5,2.5,0.4,0.1,5.6
Kristaps Porziņģis,BOS,28,57,1690,2,2.9,1.4,0.3,0,14.2
Luke Kornet,BOS,28,63,983,2.1,4.5,1.2,0.4,0,15.3
Neemias Queta,BOS,24,28,333,2.3,4.5,1.8,0.3,0,12.6
Oshae Brissett,BOS,26,55,630,1.3,1.4,2.2,0.5,0,4.5
Payton Pritchard,BOS,26,82,1826,0.6,0.5,1.6,0.5,0,2.6
Sam Hauser,BOS,26,79,1741,0.7,0.6,1.5,0.2,0,5.7
Svi Mykhailiuk,BOS,27,41,413,0.4,0.3,2,0.2,0,3.4
Xavier Tillman,BOS,25,54,975,1.3,2.7,3,0.7,0,11.8
Aleksej Pokusevski,CHA,22,28,405,1,0.5,2.3,0.6,0,7.4
Amari Bailey,CHA,20,10,65,0,0,1.7,0.6,0,3.9
Brandon Miller,CHA,21,74,2383,0.4,0.6,1.9,0.4,0.2,6.2
Bryce McGowens,CHA,21,59,882,0.5,0.4,1.1,0.4,0,5.1
Cody Martin,CHA,28,28,753,1,0.5,2.4,0.4,0.1,4.1
Davis Bertans,CHA,31,43,674,0.8,0.7,2.4,0.2,0.2,5.6
Frank Ntilikina,CHA,25,5,43,0.8,0.8,1.7,0,0,2.5
Grant Williams,CHA,25,76,2130,2.1,2.4,1.3,0.2,0.2,6.5
Ish Smith,CHA,35,43,741,0.3,1,1.8,0.6,0.1,3.6
JT Thor,CHA,21,63,781,0.5,1.2,1.7,0.1,0,7.7
James Bouknight,CHA,23,14,81,0.9,0,1.3,0.4,0,4
LaMelo Ball,CHA,22,22,711,0.1,0.4,3.2,0.5,0,3.1
Leaky Black,CHA,25,26,284,0.8,0.4,3.3,0.3,0,5.3
Mark Williams,CHA,22,19,508,1.9,5.9,2.1,0.4,0,11.8
Marques Bolden,CHA,26,11,121,2.7,5.4,1.8,0.3,0,9.5
Miles Bridges,CHA,26,69,2581,0.6,0.5,1.5,0.3,0,6.6
Nathan Mensah,CHA,26,25,307,2.2,5.7,3,0,1.1,12.3
